,Title,Published_date,Views,Likes,Comments,Month
101,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),8/31/2020,16629,770,93,Aug
102,Why I'm Starting Data Science Over Again.,8/29/2020,50412,2600,452,Aug
103,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,8/26/2020,14540,608,76,Aug
104,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),8/24/2020,11969,436,54,Aug
105,Don't Buy My Course..,8/21/2020,7289,356,148,Aug
106,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,8/19/2020,28280,1095,166,Aug
107,Reviewing Your Projects - Episode 16 (Project Review for Beginners),8/17/2020,3148,127,40,Aug
108,Data Scientist Dismantles the YouTube Algorithm.,8/14/2020,6151,535,110,Aug
109,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,8/12/2020,4781,182,39,Aug
110,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),8/10/2020,9979,327,53,Aug
111,The Plagiarism Problem in Data Science,8/7/2020,12959,629,150,Aug
112,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,8/5/2020,14084,596,89,Aug
113,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],8/3/2020,4743,183,56,Aug
114,My First Data Science Contracting Side-Gig (How I Did It),7/31/2020,10690,565,90,Jul
115,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,7/30/2020,2284,115,34,Jul
116,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),7/27/2020,5428,250,112,Jul
117,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),7/24/2020,8076,245,200,Jul
118,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),7/22/2020,1831,98,27,Jul
119,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),7/20/2020,27142,546,90,Jul
120,Beginner Kaggle Data Science Project Walk-Through (Titanic),7/17/2020,258081,6064,391,Jul
121,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,7/16/2020,29226,1088,120,Jul
122,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),7/13/2020,3498,132,50,Jul
123,The Best Computer for Data Science Beginners,7/10/2020,34301,802,157,Jul
124,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,7/8/2020,6034,229,84,Jul
